sub	ses	age	gender	handedness
A00075895	FLU2	69	F	R
A00075806	BAS1	55	F	R
A00075806	FLU1	56	F	R
A00075757	BAS1	64	M	R
A00075757	FLU1	65	M	R
A00075757	FLU2	66	M	R
A00075746	BAS1	11	M	R
A00075745	BAS1	13	F	L
A00075744	BAS1	14	M	R
A00075741	BAS1	52	F	R
A00075741	FLU1	54	F	R
A00075740	BAS1	11	M	R
A00075740	FLU1	12	M	R
A00075738	BAS1	15	M	R
A00075738	FLU1	16	M	R
A00075738	TRT	15	M	R
A00075737	BAS1	17	M	R
A00075737	FLU1	18	M	R
A00075737	TRT	17	M	R
A00075735	BAS1	55	F	L
A00075735	FLU1	56	F	L
A00075735	FLU2	57	F	L
A00075732	BAS1	16	M	R
A00075732	FLU1	18	M	R
A00075732	FLU2	19	M	R
A00075732	TRT	16	M	R
A00075729	BAS1	11	F	R
A00075729	FLU1	12	F	R
A00075729	TRT	11	F	R
A00075721	BAS1	26	F	R
A00075678	BAS1	54	F	R
A00075678	FLU1	55	F	R
A00075674	BAS1	43	M	R
A00075660	BAS1	37	F	R
A00075657	BAS1	7	M	R
A00075653	BAS1	45	F	R
A00075653	FLU1	46	F	R
A00075653	FLU2	48	F	R
A00075651	BAS1	51	F	R
A00075432	BAS1	75	F	R
A00075412	BAS1	29	M	R
A00075407	BAS1	65	F	R
A00075407	FLU1	66	F	R
A00075407	FLU2	67	F	R
A00075377	BAS1	16	M	R
A00075372	BAS1	12	M	R
A00075372	TRT	12	M	R
A00075369	BAS1	42	F	R
A00075362	BAS1	8	M	R
A00075361	BAS1	10	F	R
A00075361	FLU1	11	F	R
A00075296	BAS1	10	F	R
A00075296	FLU1	11	F	R
A00075296	FLU2	12	F	R
A00075292	FLU1	8	F	
A00075292	FLU2	9	F	
A00075269	BAS1	41	F	R
A00075267	BAS1	42	M	R
A00075231	BAS1	6	M	R
A00075229	BAS1	67	M	R
A00075229	FLU1	68	M	R
A00075229	FLU2	69	M	R
A00075220	BAS1	57	M	R
A00075220	FLU1	58	M	R
A00075220	FLU2	59	M	R
A00075210	BAS1	39	F	R
A00075210	FLU1	40	F	R
A00075193	BAS1	74	F	R
A00075156	BAS1	26	F	R
A00075151	BAS1	16	M	R
A00075151	TRT	16	M	R
A00075150	BAS1	12	M	R
A00075150	TRT	12	M	R
A00074989	BAS1	62	F	R
A00074989	FLU1	63	F	R
A00074989	FLU2	64	F	R
A00074985	BAS1	61	F	R
A00074985	FLU1	62	F	R
A00074985	FLU2	63	F	R
A00074977	BAS1	49	F	R
A00074977	FLU1	50	F	R
A00074977	FLU2	51	F	R
A00074975	BAS1	77	M	R
A00074969	BAS1	49	F	R
A00074969	FLU1	50	F	R
A00074969	FLU2	51	F	R
A00074962	BAS1	45	F	R
A00074962	FLU1	46	F	R
A00074962	FLU2	47	F	R
A00074959	BAS1	57	M	R
A00074959	FLU1	58	M	R
A00074959	FLU2	59	M	R
A00074956	BAS1	61	F	L
A00074953	BAS1	12	M	R
A00074953	TRT	12	M	R
A00074952	BAS1	9	M	R
A00074952	FLU1	11	M	R
A00074952	FLU2	11	M	R
A00074952	TRT	9	M	R
A00074942	BAS1	51	F	R
A00074942	FLU1	52	F	R
A00074942	FLU2	53	F	R
A00074836	BAS1	63	M	R
A00074836	FLU1	64	M	R
A00074836	FLU2	65	M	R
