participant_id,session,age,gender,handedness
A00057809,FLU2,11,F,R
A00057809,TRT,8,F,R
A00057862,BAS1,10,F,R
A00057862,FLU1,11,F,R
A00057862,FLU2,13,F,R
A00057862,TRT,11,F,R
A00057863,BAS1,8,M,L
A00057863,FLU2,10,M,L
A00057863,TRT,10,M,L
A00057967,BAS1,11,M,R
A00058004,BAS1,8,M,R
A00058004,FLU1,9,M,R
A00058004,FLU2,10,M,R
A00058004,TRT,10,M,R
A00058053,BAS1,14,F,R
A00058053,FLU1,15,F,R
A00058053,TRT,14,F,R
A00058060,BAS1,8,F,R
A00058060,TRT,8,F,R
A00058061,BAS1,10,F,L
A00058061,TRT,10,F,L
A00058214,BAS1,24,F,R
A00058215,BAS1,6,F,R
A00058215,FLU1,8,F,R
A00058215,FLU2,9,F,R
A00058215,TRT,6,F,R
A00058229,BAS1,15,M,R
A00058229,FLU1,16,M,R
A00058229,FLU2,17,M,R
A00058229,TRT,15,M,R
A00058515,BAS1,25,F,L
A00058516,BAS1,10,M,R
A00058516,TRT,10,M,R
A00058537,BAS1,14,M,R
A00058537,FLU2,17,M,R
A00058570,BAS1,9,F,R
A00058570,FLU1,10,F,R
A00058621,BAS1,21,F,R
A00058667,BAS1,23,F,R
A00058685,BAS1,17,M,R
A00058685,FLU2,20,M,R
A00058951,BAS1,8,F,R
A00058999,BAS1,21,F,R
A00059109,BAS1,11,M,R
A00059325,BAS1,12,M,R
A00059325,FLU1,13,M,R
A00059325,TRT,12,M,R
A00059326,BAS1,8,M,
A00059326,FLU1,9,M,
A00059326,FLU2,11,M,
A00059327,BAS1,11,F,R
A00059327,FLU1,13,F,R
A00059327,FLU2,14,F,R
A00059327,TRT,11,F,R
A00059427,BAS1,10,F,R
A00059527,BAS1,21,F,R
A00059733,BAS1,9,M,R
A00059733,FLU1,10,M,R
A00059734,BAS1,6,F,R
A00059865,BAS1,14,F,R
A00059865,FLU1,16,F,R
A00059865,FLU2,17,F,R
A00059865,TRT,14,F,R
A00059875,BAS1,8,F,R
A00059935,BAS1,15,M,R
A00059990,BAS1,18,M,R
A00060099,BAS1,12,M,R
A00060099,FLU1,13,M,R
A00060099,FLU2,14,M,R
A00060099,TRT,12,M,R
A00060100,BAS1,10,M,R
A00060100,FLU1,12,M,R
A00060100,FLU2,13,M,R
A00060100,TRT,12,M,R
A00060169,BAS1,22,F,R
A00060280,BAS1,16,M,L
A00060280,FLU1,18,M,L
A00060280,FLU2,19,M,L
A00060280,TRT,16,M,L
A00060302,BAS1,22,F,R
A00060384,BAS1,12,F,R
A00060384,FLU1,13,F,R
A00060384,FLU2,15,F,R
A00060384,TRT,12,F,R
A00060429,BAS1,10,F,R
A00060429,FLU1,11,F,R
A00060429,FLU2,12,F,R
A00060429,TRT,10,F,R
A00060471,BAS1,25,M,R
A00060472,BAS1,16,M,R
A00060472,FLU1,18,M,R
A00060472,TRT,16,M,R
A00060493,BAS1,6,F,R
A00060493,FLU1,8,F,R
A00060493,FLU2,9,F,R
A00060493,TRT,6,F,R
A00060503,BAS1,13,M,L
A00060503,FLU1,14,M,L
A00060503,FLU2,15,M,L
A00060503,TRT,13,M,L
A00060516,BAS1,23,M,R
A00060576,BAS1,21,M,L
A00060582,BAS1,22,F,L
A00060582,BAS1,22,F,L
A00060603,BAS1,11,M,R
A00060603,FLU1,12,M,R
A00060603,FLU2,14,M,R
A00060603,TRT,11,M,R
A00060628,BAS1,18,F,R
A00060629,BAS1,19,M,R
A00060664,BAS1,12,F,R
A00060664,FLU1,13,F,R
A00060664,FLU2,14,F,R
A00060664,TRT,12,F,R
A00060675,FLU2,8,F,R
A00060773,BAS1,23,F,R
A00060806,BAS1,16,F,R
A00060806,TRT,16,F,R
A00060846,BAS1,13,F,L
A00060846,BAS1,13,F,L
A00060846,FLU1,14,F,L
A00060846,FLU2,15,F,L
A00060846,TRT,13,F,L
A00060925,BAS1,24,F,R
A00061298,BAS1,17,F,L
A00061298,FLU2,19,F,L
A00061298,TRT,17,F,L
A00061387,BAS1,22,M,R
A00061413,FLU1,10,M,
A00061413,FLU2,11,M,
A00061413,TRT,10,M,
A00061415,BAS1,10,M,L
A00061415,FLU1,11,M,L
A00061415,FLU2,12,M,L
A00061415,TRT,10,M,L
A00061709,BAS1,23,M,R
A00061714,BAS1,16,M,R
A00061714,FLU1,17,M,R
A00061714,TRT,16,M,R
A00061715,BAS1,17,M,R
A00061715,FLU1,18,M,R
A00061715,TRT,17,M,R
A00061727,BAS1,20,F,R
A00061730,BAS1,11,F,R
A00061749,BAS1,13,F,R
A00061749,FLU1,14,F,R
A00061749,FLU2,16,F,R
A00061749,TRT,13,F,R
A00061881,BAS1,19,M,R
A00061882,BAS1,25,F,R
A00061883,BAS1,14,M,R
A00061883,FLU1,15,M,R
A00061883,FLU2,17,M,R
A00061883,TRT,14,M,R
A00061923,BAS1,16,F,R
A00062009,BAS1,11,M,R
A00062009,TRT,11,M,R
A00062081,BAS1,12,M,R
A00062081,FLU1,14,M,R
A00062081,FLU2,15,M,R
A00062081,TRT,12,M,R
A00062085,BAS1,8,M,L
A00062085,FLU1,10,M,L
A00062085,FLU2,11,M,L
A00062085,TRT,8,M,L
A00062144,BAS1,15,F,R
A00062144,TRT,15,F,R
A00062146,BAS1,14,F,R
A00062146,TRT,14,F,R
A00062349,BAS1,6,M,R
A00062349,FLU1,7,M,R
A00062349,FLU2,8,M,R
A00062349,TRT,8,M,R
A00062353,BAS1,10,F,R
A00062353,FLU1,11,F,R
A00062353,TRT,10,F,R
A00062361,BAS1,9,M,R
A00062361,FLU1,10,M,R
A00062361,FLU2,12,M,R
A00062369,BAS1,16,F,L
A00062369,FLU1,17,F,L
A00062369,TRT,16,F,L
A00062797,BAS1,11,F,R
A00062797,FLU2,14,F,R
A00062797,TRT,11,F,R
A00062798,BAS1,6,F,R
A00062809,BAS1,15,F,R
A00062809,FLU1,16,F,R
A00062917,BAS1,24,F,R
A00062983,BAS1,17,M,R
A00062983,FLU1,18,M,R
A00062983,FLU2,20,M,R
A00062983,TRT,17,M,R
A00062989,BAS1,15,F,R
A00062989,FLU2,17,F,R
A00062996,BAS1,11,F,R
A00062996,TRT,11,F,R
A00062997,BAS1,8,M,R
A00062997,TRT,8,M,R
A00063003,BAS1,13,M,R
A00063003,FLU1,15,M,R
A00063003,TRT,13,M,R
A00063006,BAS1,11,F,R
A00063006,FLU1,13,F,R
A00063006,TRT,11,F,R
A00063103,BAS1,23,F,R
A00063327,BAS1,9,F,R
A00063327,FLU1,11,F,R
A00063327,FLU2,12,F,R
A00063327,TRT,11,F,R
A00063329,BAS1,12,F,R
A00063329,FLU1,14,F,R
A00063329,FLU2,15,F,R
A00063383,BAS1,17,F,R
A00063383,FLU2,20,F,R
A00063383,TRT,17,F,R
A00063425,BAS1,14,M,R
A00063450,BAS1,19,F,L
A00063589,BAS1,24,M,R
A00064416,BAS1,17,F,L
A00064418,BAS1,11,F,R
A00064418,FLU1,12,F,R
A00064418,FLU2,13,F,R
A00064418,TRT,11,F,R
A00064503,BAS1,12,M,R
A00064503,FLU1,13,M,R
A00064503,FLU2,14,M,R
A00064503,TRT,12,M,R
A00064505,BAS1,15,M,R
A00064505,FLU1,17,M,R
A00064505,TRT,15,M,R
A00064507,BAS1,10,M,R
A00064507,FLU1,12,M,R
A00064507,FLU2,13,M,R
A00064507,TRT,10,M,R
A00064580,BAS1,25,M,R
A00064596,BAS1,12,M,R
A00064596,FLU1,13,M,R
A00064596,FLU2,14,M,R
A00064596,TRT,12,M,R
A00064597,BAS1,10,F,R
A00064597,FLU1,11,F,R
A00065178,BAS1,10,M,R
A00065178,FLU1,11,M,R
A00065178,FLU2,12,M,R
A00065178,TRT,12,M,R
A00065178,TRT,11,M,R
A00065185,BAS1,6,M,R
A00065185,FLU2,8,M,R
A00065197,BAS1,18,M,R
A00065250,BAS1,10,M,R
A00065250,FLU1,11,M,R
A00065250,FLU2,12,M,R
A00065250,TRT,10,M,R
A00065261,BAS1,9,M,L
A00065261,FLU1,10,M,L
A00065261,FLU2,11,M,L
A00065262,BAS1,13,F,L
A00065263,BAS1,12,M,R
A00065574,BAS1,23,M,R
A00065617,BAS1,23,M,R
A00065750,BAS1,8,M,R
A00065790,BAS1,23,F,L
A00065792,BAS1,7,F,R
A00065792,FLU1,8,F,R
A00065792,TRT,7,F,R
A00065802,BAS1,14,M,R
A00065802,FLU1,15,M,R
A00065802,FLU2,16,M,R
A00065802,TRT,14,M,R
A00065820,BAS1,9,M,R
A00065820,TRT,9,M,R
A00065934,BAS1,17,M,R
A00065941,BAS1,15,M,R
A00065941,FLU1,16,M,R
A00065941,FLU2,17,M,R
A00065975,BAS1,16,M,R
A00065975,FLU1,17,M,R
A00065975,FLU2,19,M,R
A00065975,TRT,19,M,R
A00065978,BAS1,15,M,R
A00065978,FLU1,16,M,R
A00065978,FLU2,18,M,R
A00065992,BAS1,7,F,R
A00065992,FLU1,8,F,R
A00065992,FLU2,9,F,R
A00065992,TRT,8,F,R
A00066087,BAS1,22,M,R
A00066091,BAS1,22,M,R
A00066153,BAS1,21,M,R
A00066232,BAS1,23,M,R
A00066246,BAS1,22,M,R
A00066248,FLU1,8,F,
A00066248,FLU2,9,F,
A00066314,BAS1,13,M,R
A00066314,FLU1,14,M,R
A00066314,TRT,13,M,R
A00066319,BAS1,23,F,R
A00066396,BAS1,14,M,R
A00066396,FLU1,15,M,R
A00066396,FLU2,16,M,R
A00066396,TRT,15,M,R
A00066396,TRT,16,M,R
A00066534,BAS1,8,M,L
A00066534,FLU2,9,M,L
A00066534,TRT,9,M,L
A00066572,BAS1,14,F,R
A00066572,FLU1,15,F,R
A00066572,FLU2,16,F,R
A00066572,TRT,14,F,R
A00066573,BAS1,7,M,R
A00066573,FLU1,8,M,R
A00066573,TRT,7,M,R
A00066580,BAS1,9,F,R
A00066580,TRT,9,F,R
A00066581,BAS1,12,M,R
A00066581,TRT,12,M,R
A00066582,BAS1,14,F,R
A00066582,TRT,14,F,R
A00066584,BAS1,17,M,R
A00066584,TRT,17,M,R
A00066589,BAS1,13,F,R
A00066589,FLU1,14,F,R
A00066589,FLU2,15,F,R
A00066589,TRT,13,F,R
A00066697,BAS1,10,F,R
A00066697,FLU1,13,F,R
A00066697,TRT,10,F,R
A00066698,BAS1,10,F,R
A00066698,FLU1,13,F,R
A00066698,TRT,10,F,R
A00066735,BAS1,22,M,R
A00066784,BAS1,12,F,R
A00066784,FLU1,13,F,R
A00066812,BAS1,23,M,R
A00066860,BAS1,7,F,R
A00066860,FLU1,8,F,R
A00066860,FLU2,9,F,R
A00066860,TRT,7,F,R
A00066926,BAS1,23,M,R
A00067146,BAS1,13,M,
A00067146,TRT,13,M,
A00072203,BAS1,23,F,R
A00073303,BAS1,11,M,R
A00073303,FLU1,12,M,R
A00073303,TRT,11,M,R
A00073545,BAS1,7,F,R
A00073545,FLU1,8,F,R
A00073545,FLU2,9,F,R
A00073545,TRT,9,F,R
A00073600,BAS1,22,F,R
A00073975,BAS1,25,F,R
A00074034,BAS1,10,F,R
A00074034,FLU1,11,F,R
A00074034,FLU2,12,F,R
A00074034,TRT,11,F,R
A00074425,BAS1,22,M,R
A00074427,BAS1,12,F,R
A00074427,FLU1,13,F,R
A00074427,FLU2,14,F,R
A00074427,TRT,12,F,R
A00074447,FLU1,7,M,
A00074447,FLU2,8,M,
A00074447,TRT,8,M,
A00074479,BAS1,8,M,R
A00074482,BAS1,11,M,R
A00074607,BAS1,9,F,R
A00074607,FLU1,10,F,R
A00074607,FLU2,11,F,R
A00074607,TRT,9,F,R
A00074609,BAS1,24,M,R
A00074652,BAS1,15,M,
A00074688,BAS1,14,M,
A00074688,TRT,14,M,
A00074780,BAS1,23,F,R
A00074952,BAS1,9,M,R
A00074952,FLU1,11,M,R
A00074952,FLU2,11,M,R
A00074952,TRT,9,M,R
A00074953,BAS1,12,M,R
A00074953,TRT,12,M,R
A00075150,BAS1,12,M,R
A00075150,TRT,12,M,R
A00075151,BAS1,16,M,R
A00075151,TRT,16,M,R
A00075231,BAS1,6,M,R
A00075292,FLU1,8,F,
A00075292,FLU2,9,F,
A00075296,BAS1,10,F,R
A00075296,FLU1,11,F,R
A00075296,FLU2,12,F,R
A00075361,BAS1,10,F,R
A00075361,FLU1,11,F,R
A00075362,BAS1,8,M,R
A00075372,BAS1,12,M,R
A00075372,TRT,12,M,R
A00075377,BAS1,16,M,R
A00075657,BAS1,7,M,R
A00075729,BAS1,11,F,R
A00075729,FLU1,12,F,R
A00075729,TRT,11,F,R
A00075732,BAS1,16,M,R
A00075732,FLU1,18,M,R
A00075732,FLU2,19,M,R
A00075732,TRT,16,M,R
A00075737,BAS1,17,M,R
A00075737,FLU1,18,M,R
A00075737,TRT,17,M,R
A00075738,BAS1,15,M,R
A00075738,FLU1,16,M,R
A00075738,TRT,15,M,R
A00075740,BAS1,11,M,R
A00075740,FLU1,12,M,R
A00075744,BAS1,14,M,R
A00075745,BAS1,13,F,L
A00075746,BAS1,11,M,R
A00075896,BAS1,21,M,R
A00076568,BAS1,8,M,L
A00076568,FLU1,9,M,L
A00076568,FLU2,10,M,L
A00076568,TRT,10,M,L
A00076574,BAS1,10,F,R
A00076574,FLU1,11,F,R
A00076574,FLU2,12,F,R
A00076574,TRT,12,F,R
A00076595,BAS1,14,M,R
A00076595,FLU1,15,M,R
A00076595,FLU2,16,M,R
A00076595,TRT,14,M,R
A00076755,BAS1,15,M,R
A00076755,FLU1,16,M,R
A00076755,FLU2,17,M,R
A00076755,TRT,15,M,R
A00076759,BAS1,13,M,R
A00076759,FLU1,14,M,R
A00076759,FLU2,15,M,R
A00076759,TRT,13,M,R
A00076941,BAS1,10,M,L
A00076941,FLU1,11,M,L
A00076941,TRT,10,M,L
A00077109,BAS1,21,F,R
A00077199,BAS1,13,F,R
A00077201,BAS1,12,F,R
A00077201,FLU1,14,F,R
