sub,ses
A00039277,BAS2
A00058436,BAS1
A00053171,FLU1
A00035945,FLU1
A00053475,BAS1
A00082524,BAS1
A00040800,BAS1
A00053626,BAS1
A00052235,BAS1
A00044427,BAS1
A00028339,BAS2
A00045590,BAS1
A00056307,FLU1
A00066132,BAS1
A00081846,BAS1
A00081719,BAS1
A00055624,FLU1
A00066581,BAS1
A00056452,BAS1
A00077668,BAS1
A00043240,TRT
A00062937,BAS1
A00074836,BAS1
A00076764,BAS1
A00059344,BAS1
A00081543,BAS1
A00081071,BAS1
A00082734,BAS1
A00077311,FLU1
A00058229,BAS1
A00057967,BAS1
A00055920,FLU1
A00058214,BAS1
A00053202,BAS1
A00076381,BAS1
A00079818,BAS1
A00076759,BAS1
A00043739,BAS1
A00039975,BAS2
A00064505,BAS1
A00060664,BAS1
A00082554,BAS1
A00052612,BAS1
A00081126,BAS1
A00065935,BAS1
A00081794,BAS1
A00082580,BAS1
A00079337,BAS1
A00055906,BAS1
A00061001,BAS1
A00081517,BAS1
A00060306,BAS1
A00074095,BAS1
A00057182,BAS1
A00066539,BAS1
A00063450,BAS1
A00074952,BAS1
A00044012,BAS1
A00081518,BAS1
A00063470,BAS1
A00081729,BAS1
A00065975,BAS1
A00058516,BAS1
A00061727,BAS1
