bblid,sub
82574,2692309831
82579,4168399046
82582,3323961258
82587,1762027912
82593,960028067
82602,565591401
82610,1536076655
82613,3734077280
82616,1433411270
82631,3608784218
82645,2126893901
82647,2748832963
82650,1995881703
82652,2400986349
82655,4246199617
82660,88537307
82663,2153327828
82668,792779510
82671,4200708818
82674,1904270196
82679,697106677
82693,3904988560
82709,940718928
82711,1747750779
82746,3029167955
82751,1163172083
82754,3468032341
82764,3171269993
82773,1289505481
82784,1448081953
82790,579459470
82793,2811628929
82796,746023975
82805,4103055636
82820,2399961730
82825,82699044
82828,2768937135
82832,4113831044
82835,2269113640
82842,2885437232
82845,3656892060
82848,2014379287
82851,2905709875
82855,1512419472
82862,1537084672
82867,4102552354
82870,564566790
82873,2763607817
82877,2002122030
82880,1228853826
82882,2966702664
82885,3269440484
82887,533576810
82899,1710565996
82907,1724567179
82914,1157595916
82917,3843604615
82920,3227249299
82927,2527626427
82932,3127082133
82935,3362293049
82938,1771030194
82940,490845995
82949,2992128265
82962,348742929
82965,1724030141
82970,1861350167
82976,1611613886
82982,4286784089
82985,2374556661
82989,2842709105
82992,2085694549
82997,3544767095
83010,3549161979
83013,1452555764
83018,4186819542
83021,3704545730
83023,623147464
83027,4140352495
83035,2819146349
83039,2364560873
83044,2318786012
83056,4027403226
83062,1957241413
83063,140275264
83068,2806356066
83072,4152044617
83077,1482873451
83080,1711930631
83083,3809880328
83086,1761036462
83089,3373271845
83103,1310346718
83113,3452453842
83119,3889062399
83122,3264039915
83124,3430153794
83127,1838464457
83130,3098926573
83138,2461269952
83139,397159375
83144,292135930
83147,2962153585
83158,1336517240
83161,1793755244
83169,3104191051
83188,3612582156
83193,4221065506
83196,1886992516
83207,3533807592
83210,125894604
83216,159271525
83233,1929208307
83247,4292446304
83253,2951167051
83260,1497934968
83263,3696719991
83266,1471551953
83269,4132526682
83275,1367065554
83293,3033477427
83296,1059999893
83301,694027766
83308,2142071774
83310,3598272511
83313,1399231472
83316,3632788054
83322,1545837513
83328,2412716526
83339,2298674157
83347,773861459
83358,3506926170
83370,191044167
83372,4069098061
83375,2156035041
83381,521019142
83387,889732395
83393,1698072832
83395,1808284841
83398,3392110370
83401,1346459611
83414,1483880561
83420,3705033198
83423,1506379233
83429,1942988748
83432,2800666600
83435,3571793476
83436,1375398475
83439,4028475840
83454,1963601913
83457,3572329586
83462,138731116
83470,1920747626
83473,4150500453
83475,4187826636
83477,613361218
83480,451150126
83489,3053319948
83498,3006278927
83501,521551818
83510,3761339843
83513,1697556940
83519,1328057313
83522,1785438709
83525,408967257
83531,1822850038
83537,1184913883
83540,1318806599
83544,3113175524
83547,409471599
83550,3444140619
83556,3283607522
83559,1649450089
83562,1192474237
83567,3892985951
83570,1026236539
83580,1437821247
83589,4205485853
83592,797703993
83604,1158604383
83612,3357695482
83616,1060532313
83621,1049480649
83632,943724490
83635,1246490214
83639,1857255906
83648,3043294809
83657,1245953104
83660,1862309444
83663,3927917131
83666,1644045293
83669,3222888550
83672,355991618
83678,3335830117
83691,2070778629
83705,1991033419
83708,3612049856
83711,40559076
83713,4219501038
83719,3515243459
83722,4106580439
83733,199373790
83734,2045364850
83737,3624831481
83738,2767963644
83759,4244524107
83764,3611546614
83767,1990496381
83770,2743464025
83776,2910537200
83779,211551867
83788,3776682800
83794,3218840242
83797,507304249
83800,354985517
83815,488360327
83826,3954465204
83829,1246960191
83832,2675079707
83835,3984163767
83838,1285472316
83843,3176097194
83849,2538162055
83858,2441387396
83864,1059509814
83867,2663486909
83873,3472826774
83879,3841524667
83883,2791794898
83885,2828655995
83891,3697278676
83902,2744473142
83905,3516837786
83908,1887038481
83920,2854061068
