Datasets,CBF.GM,CBF.WM,CBFTYPE
PNC,81.351057,50.147841,SCBF
PNC,54.772748,38.731967,SCBF
PNC,72.06037,40.526965,SCBF
PNC,57.769452,35.135322,SCBF
PNC,65.39759,31.955732,SCBF
PNC,46.726309,36.241939,SCBF
PNC,83.558257,36.565785,SCBF
PNC,64.032454,25.833834,SCBF
PNC,66.608797,22.214445,SCBF
PNC,72.945907,49.675667,SCBF
PNC,82.54159,33.980561,SCBF
PNC,39.841861,14.857456,SCBF
PNC,69.548298,31.069753,SCBF
PNC,68.001273,38.282745,SCBF
PNC,70.232323,31.38156,SCBF
PNC,64.626326,27.151077,SCBF
PNC,82.933238,38.127813,SCBF
PNC,80.389661,43.973685,SCBF
PNC,73.347691,30.292999,SCBF
PNC,71.83509,34.000638,SCBF
PNC,101.996353,47.928009,SCBF
PNC,77.510183,35.941053,SCBF
PNC,78.691057,31.370952,SCBF
PNC,65.796264,40.123628,SCBF
PNC,70.651478,34.4861,SCBF
PNC,104.327396,43.184967,SCBF
PNC,78.339957,65.611332,SCBF
PNC,81.576742,35.613727,SCBF
PNC,63.820873,36.123678,SCBF
PNC,63.609945,27.942028,SCBF
PNC,74.806329,34.764114,SCBF
PNC,77.345964,35.084614,SCBF
PNC,76.002866,34.242525,SCBF
PNC,56.049269,27.693409,SCBF
PNC,85.763125,39.361465,SCBF
PNC,61.697215,27.652031,SCBF
PNC,80.160561,46.107332,SCBF
PNC,75.570136,45.737725,SCBF
PNC,86.127745,33.396496,SCBF
PNC,77.732914,47.714829,SCBF
PNC,88.182254,38.444955,SCBF
PNC,76.384884,33.970991,SCBF
PNC,67.972323,42.135564,SCBF
PNC,95.216192,44.745487,SCBF
PNC,71.6487,46.142929,SCBF
PNC,85.019809,37.777584,SCBF
PNC,117.851892,66.289288,SCBF
PNC,62.997252,28.610959,SCBF
PNC,61.952744,39.49019,SCBF
PNC,69.9384,39.212971,SCBF
PNC,68.167714,29.631336,SCBF
PNC,86.946676,40.321219,SCBF
