Datasets,CBF,CBFTYPE,AGE
PNC,64.105389,SCBF,14.25
PNC,80.546851,SCBF,14.08333333
PNC,66.085092,SCBF,21.75
PNC,63.756481,SCBF,17.16666667
PNC,90.067068,SCBF,10.91666667
PNC,72.018103,SCBF,16.08333333
PNC,103.822988,SCBF,9.583333333
PNC,46.49889,SCBF,19.08333333
PNC,70.471651,SCBF,12
PNC,73.282607,SCBF,16.25
PNC,72.351796,SCBF,11.91666667
PNC,69.634759,SCBF,10.41666667
PNC,113.151931,SCBF,9.166666667
PNC,55.477316,SCBF,21.33333333
PNC,94.22191,SCBF,8.666666667
PNC,63.630923,SCBF,20.16666667
PNC,55.309448,SCBF,17.91666667
PNC,52.150541,SCBF,19.33333333
PNC,80.974436,SCBF,8.583333333
PNC,76.918542,SCBF,10.33333333
PNC,81.046957,SCBF,10.91666667
PNC,62.727639,SCBF,17.25
PNC,42.659161,SCBF,18.91666667
PNC,84.007914,SCBF,18.75
PNC,80.266246,SCBF,10.41666667
PNC,50.471272,SCBF,17.91666667
PNC,56.125804,SCBF,20.91666667
PNC,86.773723,SCBF,10.33333333
PNC,82.131928,SCBF,15.75
PNC,90.933248,SCBF,9.083333333
PNC,107.178048,SCBF,8.166666667
PNC,75.077021,SCBF,12
PNC,72.061341,SCBF,14
PNC,51.169905,SCBF,14.33333333
PNC,85.059077,SCBF,14.83333333
PNC,73.445129,SCBF,16.83333333
PNC,61.976144,SCBF,13.5
PNC,69.2986,SCBF,16.58333333
PNC,78.647337,SCBF,13.08333333
PNC,83.094856,SCBF,18.91666667
PNC,77.278749,SCBF,13.83333333
PNC,93.881632,SCBF,19.66666667
PNC,107.089532,SCBF,8.666666667
PNC,91.379208,SCBF,9.75
PNC,86.394252,SCBF,14.5
PNC,79.666974,SCBF,13.41666667
PNC,74.682597,SCBF,14.5
PNC,64.933073,SCBF,18.41666667
PNC,58.650441,SCBF,15.5
PNC,55.2298,SCBF,17.33333333
PNC,77.297764,SCBF,15.08333333
PNC,57.536292,SCBF,17.75
PNC,78.197662,SCBF,20.91666667
PNC,62.362201,SCBF,13.08333333
PNC,52.645684,SCBF,16.25
PNC,75.244113,SCBF,18.16666667
