Datasets,CBFTYPE,QEI,FD
PNC,SCBF,0.569450143,0.292565043
PNC,SCBF,0.768014606,0.091086037
PNC,SCBF,0.730616151,0.100968734
PNC,SCBF,0.663830856,0.117575988
PNC,SCBF,0.677860566,0.198693045
PNC,SCBF,0.67999006,0.19427084
PNC,SCBF,0.74130649,0.148087756
PNC,SCBF,0.720144826,0.192211327
PNC,SCBF,0.724179396,0.169401948
PNC,SCBF,0.698989369,0.163438803
PNC,SCBF,0.443226708,0.082810021
PNC,SCBF,0.635612548,0.423329299
PNC,SCBF,0.726954199,0.104681096
PNC,SCBF,0.639609505,0.106540445
PNC,SCBF,0.763112199,0.090679212
PNC,SCBF,0.593876154,0.267524958
PNC,SCBF,0.620644843,0.140290731
PNC,SCBF,0.701285913,0.109622257
PNC,SCBF,0.612490751,0.159272336
PNC,SCBF,0.461342098,0.164826956
PNC,SCBF,0.623488163,0.144084522
PNC,SCBF,0.712371393,0.096027314
PNC,SCBF,0.718117472,0.124404445
PNC,SCBF,0.683094559,0.089736166
PNC,SCBF,0.754236966,0.130518636
PNC,SCBF,0.651584783,0.089716253
PNC,SCBF,0.672610853,0.138594713
PNC,SCBF,0.600972314,0.079503692
PNC,SCBF,0.71078815,0.111595154
PNC,SCBF,0.637302608,0.214587789
PNC,SCBF,0.686620857,0.06106372
PNC,SCBF,0.585317559,0.139612012
PNC,SCBF,0.675641594,0.152681651
PNC,SCBF,0.721190338,0.107896066
PNC,SCBF,0.636915074,0.174943684
PNC,SCBF,0.652031618,0.143633886
PNC,SCBF,0.734763894,0.079556019
PNC,SCBF,0.408654571,0.214345181
PNC,SCBF,0.686159218,0.12402327
PNC,SCBF,0.736144673,0.121155315
PNC,SCBF,0.628845007,0.129316141
PNC,SCBF,0.764756525,0.15923846
PNC,SCBF,0.66584393,0.533554761
PNC,SCBF,0.692434883,0.146934414
PNC,SCBF,0.629825525,0.20370686
PNC,SCBF,0.625614374,0.063646839
PNC,SCBF,0.637761095,0.124912526
PNC,SCBF,0.564146029,0.077445205
PNC,SCBF,0.728097097,0.108710824
PNC,SCBF,0.555784071,0.116645882
PNC,SCBF,0.65660481,0.243900671
PNC,SCBF,0.648820659,0.138416849
PNC,SCBF,0.58045056,0.128861829
PNC,SCBF,0.731043626,0.117079499
PNC,SCBF,0.629499008,0.219460207
PNC,SCBF,0.736207595,0.149734483
PNC,SCBF,0.650056292,0.094123782
PNC,SCBF,0.773271098,0.128039653
PNC,SCBF,0.736108026,0.177294622
PNC,SCBF,0.733201891,0.179469795
PNC,SCBF,0.668432533,0.167013876
PNC,SCBF,0.637589765,0.275021018
PNC,SCBF,0.431714908,0.832635641
PNC,SCBF,0.605525928,0.197442243
PNC,SCBF,0.753317814,0.086939746
PNC,SCBF,0.743434941,0.078060937
PNC,SCBF,0.686001369,0.098782802
PNC,SCBF,0.71586505,0.081771443
PNC,SCBF,0.599728481,0.253577273
PNC,SCBF,0.760588319,0.180641306
PNC,SCBF,0.73199716,0.104945182
PNC,SCBF,0.776630593,0.109610388
PNC,SCBF,0.687486433,0.145050274
PNC,SCBF,0.719311802,0.109923712
PNC,SCBF,0.60313126,0.166696968
PNC,SCBF,0.11176909,0.193735254
PNC,SCBF,0.600953178,0.120019744
PNC,SCBF,0.70437555,0.102968873
PNC,SCBF,0.715159976,0.093994955
PNC,SCBF,0.72900894,0.091565814
PNC,SCBF,0.688390176,0.165450204
PNC,SCBF,0.722503171,0.108867203
PNC,SCBF,0.7704131,0.138823424
PNC,SCBF,0.598719661,0.196809959
PNC,SCBF,0.699779089,0.224252551
PNC,SCBF,0.52368811,0.090131785
PNC,SCBF,0.640521876,0.101445386
PNC,SCBF,0.606734815,0.2233842
PNC,SCBF,0.7482432,0.12125039
PNC,SCBF,0.592504542,0.121556086
PNC,SCBF,0.626721031,0.415859413
PNC,SCBF,0.666754031,0.115662861
PNC,SCBF,0.621310206,0.155791778
PNC,SCBF,0.499584503,0.10384518
PNC,SCBF,0.600506752,0.182906456
PNC,SCBF,0.65354854,0.168629459
PNC,SCBF,0.750210638,0.081230723
PNC,SCBF,0.673837228,0.10284932
PNC,SCBF,0.677110656,0.24066539
PNC,SCBF,0.680179133,0.173115161
PNC,SCBF,0.708691633,0.151768428
PNC,SCBF,0.649673063,0.160175573
PNC,SCBF,0.676167103,0.086714912
PNC,SCBF,0.707829966,0.113060668
PNC,SCBF,0.710240733,0.115432052
PNC,SCBF,0.705821007,0.126493918
PNC,SCBF,0.75347166,0.117390383
PNC,SCBF,0.690895022,0.074418256
PNC,SCBF,0.702689079,0.173035776
PNC,SCBF,0.656323667,0.301735791
PNC,SCBF,0.671979672,0.055012284
PNC,SCBF,0.742600426,0.082013203
PNC,SCBF,0.672848907,0.092348693
PNC,SCBF,0.722923588,0.113398402
