sub,FD,relRMS,coregDC,coregJC,coregCC,coregCOV,normDC,normJC,normCC,normCOV,cbfQEI,scoreQEI,scrubQEI,basilQEI,pvcQEI,GMmeanCBF,WMmeanCBF,Gm_Wm_CBF_ratio,NEG_CBF_PERC,NEG_SCORE_PERC,NEG_SCRUB_PERC,NEG_BASIL_PERC,NEG_PVC_PERC
1797,0,0,0.9999669744334936,0.9999339510482912,0.999960604408874,1.0,0.9844665462654424,0.9694082874819449,0.9801364015289996,0.9846251696065128,0.8788134268596699,0.8788134268596699,0.8788134268596699,0.8775693054759589,0.8818038610211203,37.89664325898225,28.646626334103217,1.3229007429006423,0.0,0.0,0.0,0.0,0.0
1767,0,0,1.0,1.0,1.0,1.0,0.9838645016916076,0.968241443517614,0.9793704992172604,0.984355170730672,0.8653302785136358,0.8653302785136358,0.8653302785136358,0.8654697363892849,0.8727199588984859,41.809598131335655,34.74214018067492,1.2034260962020975,0.0,0.0,0.0,0.0,0.0
1281,0,0,0.999994577153548,0.99998915436591,0.9999936893223944,1.0,0.9835391207476414,0.9676113865504276,0.9789410597209128,0.9864187584803256,0.8854554037592567,0.8854554037592567,0.8854554037592567,0.881979529345874,0.887414309684928,48.33069758096076,35.34082482902907,1.3675599767343791,0.0027419045268843,0.0027419045268843,0.0027419045268843,0.0,0.0
1591,0,0,1.0,1.0,1.0,1.0,0.983308587115588,0.9671652328860386,0.978749169968637,0.9909190725311632,0.7994936424854331,0.7994936424854331,0.7994936424854331,0.7992367533220125,0.7998063358254117,29.85829124283884,27.173930407957485,1.0987844155991242,0.0,0.0,0.0,0.0,0.0
1322,0,0,0.9999952467190478,0.9999904934832828,0.99999433792427,1.0,0.9832530474465284,0.9670577767429483,0.9785748520043271,0.9862152306648576,0.8836218908836122,0.8836218908836122,0.8836218908836122,0.8823790677383172,0.8856058079581387,49.98137849406312,36.33304194345871,1.3756453030231786,0.0,0.0,0.0,0.0,0.0
1717,0,0,1.0,1.0,1.0,1.0,0.9834620657940678,0.9674622389397582,0.978891625653481,0.9876083944789368,0.851822920074597,0.851822920074597,0.851822920074597,0.8535464142773651,0.8559509384121127,29.11492180220452,24.43602374087475,1.1914754262373406,0.0,0.0,0.0,0.0,0.0
1615,0,0,1.0,1.0,1.0,1.0,0.9833348243383132,0.9672159997988712,0.9787353951733538,0.9879602126330026,0.8004987436177463,0.8004987436177463,0.8004987436177463,0.7989036800186032,0.810299709428519,44.13838565997858,42.372040494369415,1.0416865731506106,0.0,0.0,0.0,0.0,0.0
1023,0,0,0.998614910354992,0.997233652349469,0.9982749920373736,1.0,0.953489997684548,0.9111140797268132,0.941722700782564,0.98331636284996,0.8802009487391836,0.8802009487391836,0.8802009487391836,0.882077637437453,0.8848675766285136,45.24508150203892,33.030446970317634,1.3697992504520995,0.0021769892239033,0.0021769892239033,0.0021769892239033,0.0,0.0
1456,0,0,0.9999791860063356,0.9999583728790982,0.9999745156033212,1.0,0.9832062238262232,0.9669671932159688,0.9785588741203084,0.9868686350898777,0.837583165331799,0.837583165331799,0.837583165331799,0.839275500765354,0.8453749599049544,23.250854306291483,20.94534796735091,1.1100724773125918,0.0029093448155475,0.0029093448155475,0.0029093448155475,0.0,0.0
1764,0,0,0.9999951612513004,0.9999903225494275,0.999994255515849,1.0,0.9826452639677904,0.965882625956223,0.9777992008750028,0.9883013907734056,0.9008182272838052,0.9008182272838052,0.9008182272838052,0.9016376189198494,0.9047998889170574,46.49061263272922,33.00528338750758,1.4085809258746071,0.0,0.0,0.0,0.0,0.0
1766,0,0,1.0,1.0,1.0,1.0,0.9832953248507718,0.9671395724687184,0.9786334926056572,0.984510685210312,0.8635437019061125,0.8635437019061125,0.8635437019061125,0.8617210933541373,0.8647733197417512,44.22730380731523,37.151681358308025,1.1904522807666933,0.0,0.0,0.0,0.0,0.0
1505,0,0,0.999990907437716,0.9999818150407798,0.999989073913526,1.0,0.9833051268021428,0.967158537653788,0.9786542413641822,0.9836347281506436,0.864169727080088,0.864169727080088,0.864169727080088,0.8627611789187998,0.8659340851273397,31.725287732393788,26.825226156312265,1.182666179495694,0.0076378634350017,0.0076378634350017,0.0076378634350017,0.0,0.0
1686,0,0,1.0,1.0,1.0,1.0,0.983437986734196,0.9674156361349822,0.978871657396703,0.9883933580884589,0.8534891099077307,0.8534891099077307,0.8534891099077307,0.8495976583357535,0.8509552399845689,37.43037645278274,34.500084367603115,1.084935794763774,0.0,0.0,0.0,0.0,0.0
1415,0,0,0.99966841736838,0.9993370545579544,0.9995925465339806,1.0,0.9834800551369544,0.967497057098528,0.9788656274691128,0.9862406716417912,0.8768577733252038,0.8768577733252038,0.8768577733252038,0.8762193608800466,0.884379126847487,46.32268743648751,34.53053606340223,1.3414992269866146,0.0109728531612789,0.0109728531612789,0.0109728531612789,0.0,0.0
1240,0,0,1.0,1.0,1.0,1.0,0.9830641715799368,0.9666924343763654,0.9784359185993038,0.9905975546753918,0.8231372783056556,0.8231372783056556,0.8231372783056556,0.8252678700802974,0.8279628328297715,26.101265584001904,23.99552002807554,1.0877557791397134,0.0,0.0,0.0,0.0,0.0
1940,0,0,1.0,1.0,1.0,1.0,0.9835371161466728,0.9676075061571991,0.9789437287010274,0.9845234056987788,0.8492160648119206,0.8492160648119206,0.8492160648119206,0.8495223580457354,0.8532383599431849,48.65719230560354,40.174464698406325,1.211147246662224,0.0,0.0,0.0,0.0,0.0
1648,0,0,1.0,1.0,1.0,1.0,0.9840360875109369,0.9685738591837332,0.9796237571800628,0.9881021089578336,0.8674514455954773,0.8674514455954773,0.8674514455954773,0.8645000223165066,0.8643465615090261,33.12098976787587,28.314619584637992,1.1697487112221543,0.0069883643733184,0.0069883643733184,0.0069883643733184,0.0,0.0
1747,0,0,0.9999480190943194,0.9998960435923868,0.9999369085947556,1.0,0.9833001592777716,0.9671489262546448,0.9786363869070562,0.985549525101764,0.8669933363803627,0.8669933363803627,0.8669933363803627,0.8644285032981542,0.8769398081703055,61.80518672763931,42.817358944951614,1.443460975888296,0.0146102710205274,0.0146102710205274,0.0146102710205274,0.0,0.0
1420,0,0,1.0,1.0,1.0,1.0,0.9837947289888632,0.9681063039655122,0.9792858354165436,0.9849173193711938,0.8822273595928216,0.8822273595928216,0.8822273595928216,0.8825273361845779,0.8892682549544251,35.12206297011613,27.37599080177377,1.282951299349519,0.0,0.0,0.0,0.0,0.0
1015,0,0,0.9996747030120854,0.9993496175916092,0.9996008033118948,1.0,0.9669714620415868,0.936054936054936,0.9584560844497276,0.9899833425874516,0.8572338112660858,0.8572338112660858,0.8572338112660858,0.8585309275130758,0.8589041813151476,30.16716959543541,24.816831340887,1.2155931263365385,0.00245260343855,0.00245260343855,0.00245260343855,0.0,0.0
1508,0,0,0.999984160925002,0.9999683223517486,0.9999814856662592,1.0,0.9832163963709072,0.9669868719967772,0.9785276188768,0.9872540705563092,0.8942408503073531,0.8942408503073531,0.8942408503073531,0.891661927762996,0.8963545141161483,44.34531579761608,32.174575326229146,1.3782719848819631,0.0,0.0,0.0,0.0,0.0
1383,0,0,1.0,1.0,1.0,1.0,0.9840849313149196,0.9686685055165496,0.9796580984663952,0.9853755797689852,0.8546116566253044,0.8546116566253044,0.8546116566253044,0.8565388553062641,0.8581731310774378,38.48892542465244,31.959277218733035,1.2043115105898587,0.0,0.0,0.0,0.0,0.0
1778,0,0,0.999995333056428,0.9999906661564164,0.9999944210352232,1.0,0.9833199733938226,0.9671872640955528,0.9787290546965384,0.988834768291428,0.8314103186588327,0.8314103186588327,0.8314103186588327,0.8333097616669157,0.8377266343888602,21.965903045268732,19.32380622225969,1.136727557325923,0.0,0.0,0.0,0.0,0.0
1693,0,0,1.0,1.0,1.0,1.0,0.9828379150584072,0.966254965269221,0.9780699844544856,0.9847897252955424,0.8612145761362386,0.8612145761362386,0.8612145761362386,0.8607043543092424,0.864649499002666,34.173442148664016,27.958172072526573,1.222306024156885,0.0031665611146295,0.0031665611146295,0.0031665611146295,0.0,0.0
