sub,ses,CBF_GM,CBF_WM,SCRUB_GM,SCRUB_WM,BASIL_GM,BASIL_WM,PVC_GM,PVC_WM
A00080901,BAS1,49.63738,39.194426,50.277375,39.542008,57.838096,48.186493,66.204228,73.687446
A00080901,FLU2,47.672335,37.592557,45.94477,36.632118,54.54698,46.143628,62.453609,68.598474
A00080901,FLU1,45.418886,33.679916,43.642432,31.328585,54.29078,45.218797,62.870898,65.297935
A00060006,BAS1,50.508966,36.513726,51.352468,36.002304,61.091773,45.360905,71.503556,68.227266
A00059346,BAS1,63.177113,49.533852,61.914139,48.628633,67.417361,55.842183,78.347483,86.846333
A00077181,BAS1,34.896971,29.37208,34.89311,29.395434,39.902005,35.007585,45.326626,53.238942
A00077181,FLU2,33.270243,27.707155,32.497593,28.173023,37.053379,32.657265,41.731214,49.431688
A00073529,BAS1,42.232276,30.91293,42.507304,30.977202,49.559824,38.464825,56.650104,58.353202
A00062797,BAS1,67.40493,37.407117,69.97201,38.830635,76.912799,49.655696,94.240278,70.515814
A00062797,FLU2,73.399625,37.305837,69.157326,38.80516,78.287756,50.112695,94.872684,71.499983
A00085066,BAS1,35.476899,29.070561,34.477574,28.520991,41.920054,35.403735,47.892137,54.343287
A00085066,FLU1,28.935602,22.86327,27.962353,22.425494,34.75654,29.112223,39.87394,43.90477
A00044370,BAS1,62.430999,41.440664,62.643302,41.553037,67.449649,48.428264,79.444494,72.72415
A00053456,BAS1,40.918873,35.735893,41.726034,35.93245,45.85527,40.047554,51.330095,60.831376
A00080819,BAS1,41.558603,26.624564,39.783104,26.060007,45.936819,33.04049,53.857958,48.506515
A00080819,FLU2,33.836142,26.519399,35.985019,27.565377,38.226601,32.204875,43.918192,47.502776
A00080819,FLU1,42.344902,27.10657,42.275362,27.504052,46.188024,33.824236,53.461204,48.9853
A00081385,TRT,82.063763,42.01402,60.935581,29.372364,141.466731,123.810585,143.864759,138.739253
A00081385,FLU2,139.717624,103.175278,86.292876,60.889594,143.148135,121.023876,175.803538,177.017718
A00081385,FLU1,39.445595,21.757819,71.487098,52.702587,60.861429,51.802884,69.099027,72.657134
A00075653,BAS1,71.140383,44.118283,69.663254,44.04653,76.882623,52.453546,89.907577,77.505597
A00075653,FLU2,47.79497,34.903302,50.266914,36.314765,52.878517,42.307607,60.388452,63.588067
A00075653,FLU1,65.742868,46.573307,63.456879,45.081327,70.186014,54.516307,80.729116,80.488134
A00082665,FLU1,50.895423,41.724462,50.192395,42.400497,58.096063,49.063423,66.564154,75.524575
A00083208,BAS1,34.060211,24.378063,33.660671,24.580511,37.850306,30.881597,43.435215,44.476782
A00083208,FLU1,23.205622,19.552546,22.67226,18.792174,28.80985,25.335505,32.635046,36.598941
A00060923,BAS1,45.34977,31.581879,46.017066,32.124512,49.089825,37.646866,56.550733,56.472102
A00066302,BAS1,48.663339,34.997601,45.957239,33.872637,53.870964,41.470953,62.421736,62.114965
A00066302,FLU2,41.534393,29.893848,43.737064,32.327708,50.481061,39.727338,58.605559,59.613745
A00080447,BAS1,74.970948,44.354576,73.21154,45.208564,78.147299,54.381124,91.308854,79.963436
A00061709,BAS1,56.420364,26.364357,56.673241,26.72418,59.302802,35.057968,71.601339,49.044903
A00059428,BAS1,56.628573,32.42779,57.140761,32.520057,61.742129,40.890804,72.63672,57.732873
A00054581,BAS1,95.356009,36.183878,81.644944,34.86645,95.686906,65.726707,124.311799,80.592646
A00054581,FLU2,65.486472,23.769281,64.079162,24.288029,71.558987,34.807218,89.161241,46.49737
A00054581,FLU1,73.228112,40.625484,72.575105,41.554863,79.433388,51.075317,93.70827,75.498336
A00077204,BAS1,32.983557,20.942043,34.320024,21.166501,38.15844,26.881269,44.880706,38.910737
A00075746,BAS1,91.754745,38.608686,92.153685,40.480795,100.71183,53.761605,125.457115,73.791147
A00051679,BAS1,46.869193,27.170292,49.010811,26.739607,51.201536,34.008894,61.676351,48.590299
A00081243,BAS1,60.464137,46.020464,57.408958,44.746685,64.90535,51.412223,76.042364,78.926129
A00081243,FLU1,42.325137,34.290389,42.411715,34.11873,46.858377,38.761387,53.812602,59.854941
A00060005,BAS1,61.347411,33.227323,61.342066,33.308449,63.967725,40.365217,78.280892,58.17005
