sub,ses,task,FD,relRMS,coregDC,coregJC,coregCC,coregCOV,normDC,normJC,normCC,normCOV,cbfQEI,scoreQEI,scrubQEI,basilQEI,pvcQEI,GMmeanCBF,WMmeanCBF,Gm_Wm_CBF_ratio,NEG_CBF_PERC,NEG_SCORE_PERC,NEG_SCRUB_PERC,NEG_BASIL_PERC,NEG_PVC_PERC
A00058570,BAS1,rest,1.156031706125,0.020284351893540862,0.9934697242531404,0.9870241841617452,0.991506106762562,1.0,0.9724834885016312,0.9464407409702,0.9655574591362444,0.98165402904511,0.2267306524273655,0.26446837828412706,0.3900454979710181,0.6258117560875305,0.6001621355179855,95.57743057656954,79.94053754506959,1.1956065534671196,16.482803374432187,16.482803374432187,12.362102530824142,0.0,0.0
A00058621,BAS1,rest,0.06905318385172499,0.0012477290011341812,0.9895175253872432,0.9792525355439262,0.9866948904837032,1.0,0.9720815808269184,0.9456796985979864,0.9649901068875942,0.9779644237217768,0.5329904217816385,0.5352097355404104,0.6106806150482424,0.5889581735948554,0.4423555030619037,69.79077654922831,87.4476966181822,0.7980859330572391,8.997844827586208,8.917025862068966,5.953663793103447,0.0,0.0
A00058644,BAS1,rest,0.12709813201262501,0.0008739385296370986,0.9984824784628674,0.996969555690242,0.9980616627827996,1.0,0.9749084626480052,0.9510452746165264,0.9685208103522616,0.980081585824463,0.4410715351130088,0.44541405025703146,0.5730341137589519,0.5387936818629212,0.5299159229478777,37.04434973037387,46.4014491424721,0.7983446727414056,10.524450744153082,10.099220411055988,5.244507441530829,0.0,0.0
A00058667,BAS1,rest,0.07529325893250001,0.00028501786929811064,0.9902265768524188,0.9806423442654764,0.987740769183787,1.0,0.97198639066425,0.9454995360346428,0.9649113539705864,0.9801519864045916,0.3561457050700392,0.4035083472871793,0.497190982887968,0.5462396816589762,0.4541937216411041,50.24754600303235,68.8039285865847,0.7303005371241191,13.021658742736394,9.482303222398311,7.263602746962492,0.0,0.0
A00058685,BAS1,rest,0.04912555610026924,0.00018138893944600763,0.9922496104830012,0.9846184340931616,0.9896556905000288,1.0,0.9730622617534944,0.947537738183618,0.966234087045472,0.979659716003582,0.4843203231552513,0.4807573380245866,0.5699027221623095,0.633087895954036,0.4281589844373662,56.017661788640325,67.43333442395947,0.8307117283634861,10.91780131114473,11.14473020675744,7.4382249117498755,0.0,0.0
A00058951,BAS1,rest,0.14333974230500002,0.0011868320721635365,0.9948848562029078,0.9898217754877946,0.9932952722379138,1.0,0.9760012664239354,0.9531274155149492,0.9698736713160572,0.97991035951556,0.4249557034959608,0.41253228203893794,0.5175235123125196,0.6586407184335411,0.5296922865740981,58.38302399960155,76.61613913301359,0.7620199172166915,10.382513661202186,12.058287795992713,9.107468123861564,0.0,0.0
A00058952,BAS1,rest,0.07544451512566044,0.0001380510718823334,0.9911628116686956,0.9824804469273744,0.9886527346993956,1.0,0.9714683808860318,0.9445197044334976,0.9641839732314976,0.9755461570261074,0.4122978285231803,0.4412668485400009,0.5235820150399142,0.6083829454434929,0.4827915056636423,35.66783724123106,42.951815386035655,0.8304151272923207,14.703018500486856,12.560856864654331,9.323271665043817,0.0,0.0
A00058952,FLU1,rest,0.10392502024900001,0.0003076985058390413,0.9921756973099732,0.9844728834795059,0.9899473909400806,1.0,0.974475308152355,0.9502212047149088,0.9679910196906438,0.9804635127370236,0.3818515266533156,0.39457532238185183,0.5111037367231147,0.6216179590075044,0.5238803581976924,37.01174396017323,43.16875084495263,0.8573735221829037,11.570048309178743,10.942028985507244,7.995169082125603,0.0,0.0
A00058998,BAS1,rest,0.261745328775,0.004069780965612095,0.9988369678089304,0.9976766377629341,0.9984609417702852,1.0,0.9761727828987936,0.95345461284245,0.970073359326172,0.9788812785388128,0.1148324640285536,0.28307236257655644,0.41304194652495374,0.5765369262352151,0.4580700408422484,27.34223207158733,33.46224717406945,0.8171068705981995,29.83856339561037,15.726464719753313,10.865227643751133,0.0,0.0
A00058999,BAS1,rest,0.1617252099325,0.0010235094740438362,0.9847941226721341,0.9700437563110064,0.9809733607096968,1.0,0.9685300799059556,0.938980440474357,0.9605573464425649,0.975862731288815,0.2484731878734807,0.24608890195808344,0.3737794933783354,0.6195831949321907,0.4848578977606493,37.14143548563592,54.93697157169143,0.6760735880238181,15.712143928035982,15.442278860569715,12.503748125937033,0.0,0.0
