subject,session,AcqGroup
sub-A00085298,TRT,1
sub-A00085298,BAS1,1
sub-A00085297,BAS1,1
sub-A00085290,BAS1,1
sub-A00085095,BAS1,1
sub-A00085066,BAS1,1
sub-A00085057,BAS1,1
sub-A00085052,BAS1,1
sub-A00085003,BAS1,1
sub-A00083419,FLU1,1
sub-A00083419,BAS1,1
sub-A00083389,FLU1,1
sub-A00083389,BAS1,1
sub-A00082808,BAS1,1
sub-A00082807,FLU1,1
sub-A00082807,BAS1,1
sub-A00082805,TRT,1
sub-A00082805,FLU1,1
sub-A00082805,BAS1,1
sub-A00082804,FLU1,1
sub-A00082804,BAS1,1
sub-A00082781,FLU1,1
sub-A00082781,BAS1,1
sub-A00082734,BAS1,1
sub-A00082672,FLU1,1
sub-A00082672,BAS1,1
sub-A00082666,FLU1,1
sub-A00082666,BAS1,1
sub-A00082662,BAS1,1
sub-A00082619,FLU1,1
sub-A00082619,BAS1,1
sub-A00082590,FLU1,1
sub-A00082808,FLU1,1
sub-A00082808,TRT,1
sub-A00082943,BAS1,1
sub-A00083138,BAS1,1
sub-A00083208,FLU1,1
sub-A00083208,BAS1,1
sub-A00083207,BAS1,1
sub-A00083171,BAS1,1
sub-A00083162,BAS1,1
sub-A00083142,FLU1,1
sub-A00083142,BAS1,1
sub-A00083138,FLU1,1
sub-A00083109,FLU1,1
sub-A00082943,TRT,1
sub-A00083109,BAS1,1
sub-A00082987,TRT,1
sub-A00082987,FLU1,1
sub-A00082987,BAS1,1
sub-A00082969,BAS1,1
sub-A00082945,TRT,1
sub-A00082945,FLU1,1
sub-A00082945,BAS1,1
sub-A00081098,BAS1,1
sub-A00075744,BAS1,1
sub-A00077192,BAS1,1
sub-A00077188,BAS1,1
sub-A00077184,BAS1,1
sub-A00077183,BAS1,1
sub-A00077182,BAS1,1
sub-A00077181,BAS1,1
sub-A00077144,BAS1,1
sub-A00077134,BAS1,1
sub-A00077111,BAS1,1
sub-A00077109,BAS1,1
sub-A00077099,FLU1,1
sub-A00077099,BAS1,1
sub-A00077095,BAS1,1
sub-A00077091,FLU1,1
sub-A00077091,BAS1,1
sub-A00077088,FLU1,1
sub-A00077088,BAS1,1
sub-A00076941,TRT,1
sub-A00076941,FLU1,1
sub-A00076941,BAS1,1
sub-A00077188,FLU1,1
sub-A00077199,BAS1,1
sub-A00077413,FLU1,1
sub-A00077201,BAS1,1
sub-A00077412,TRT,1
sub-A00077412,BAS1,1
sub-A00077397,FLU1,1
sub-A00077395,BAS1,1
sub-A00077391,FLU1,1
sub-A00077391,BAS1,1
sub-A00077304,FLU1,1
sub-A00077304,BAS1,1
sub-A00077252,FLU1,1
sub-A00077252,BAS1,1
sub-A00077213,FLU1,1
sub-A00077213,BAS1,1
sub-A00077204,BAS1,1
sub-A00077203,TRT,1
sub-A00077203,FLU1,1
sub-A00077203,BAS1,1
sub-A00077201,TRT,1
sub-A00077201,FLU1,1
sub-A00076863,BAS1,1
sub-A00076798,BAS1,1
sub-A00076775,FLU1,1
sub-A00076775,BAS1,1
sub-A00076568,FLU1,1
sub-A00076559,FLU1,1
sub-A00076559,BAS1,1
sub-A00076546,FLU1,1
sub-A00076546,BAS1,1
sub-A00076381,FLU1,1
sub-A00076381,BAS1,1
sub-A00076380,BAS1,1
sub-A00075964,BAS1,1
sub-A00075898,FLU1,1
sub-A00075898,BAS1,1
sub-A00075895,FLU1,1
sub-A00075895,BAS1,1
sub-A00075806,FLU1,1
sub-A00075806,BAS1,1
