Notes,ManualCheck,MergeInto,RenameKeyGroup,KeyParamGroup,KeyGroup,ParamGroup,Counts,DwellTime,EchoTime,EffectiveEchoSpacing,FieldmapKey00,FlipAngle,IntendedForKey00,IntendedForKey01,IntendedForKey02,IntendedForKey03,IntendedForKey04,IntendedForKey05,IntendedForKey06,IntendedForKey07,IntendedForKey08,IntendedForKey09,IntendedForKey10,IntendedForKey11,IntendedForKey12,IntendedForKey13,IntendedForKey14,IntendedForKey15,IntendedForKey16,IntendedForKey17,IntendedForKey18,IntendedForKey19,IntendedForKey20,IntendedForKey21,IntendedForKey22,IntendedForKey23,IntendedForKey24,IntendedForKey25,IntendedForKey26,IntendedForKey27,IntendedForKey28,IntendedForKey29,IntendedForKey30,IntendedForKey31,IntendedForKey32,IntendedForKey33,IntendedForKey34,IntendedForKey35,IntendedForKey36,IntendedForKey37,IntendedForKey38,IntendedForKey39,IntendedForKey40,IntendedForKey41,IntendedForKey42,IntendedForKey43,IntendedForKey44,IntendedForKey45,IntendedForKey46,IntendedForKey47,IntendedForKey48,IntendedForKey49,IntendedForKey50,IntendedForKey51,IntendedForKey52,IntendedForKey53,MultibandAccelerationFactor,NSliceTimes,NumberOfVolumesDiscardedByScanner,NumberOfVolumesDiscardedByUser,ParallelAcquisitionTechnique,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,SliceEncodingDirection,TotalReadoutTime,VolumeTiming
Variant TR,,,acquisition-seVariantTr_suffix-asl_task-rest,acquisition-se_suffix-asl_task-rest__6,acquisition-se_suffix-asl_task-rest,6,2,,0.029,0.000345003,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,2,0.875,j-,4.23,,0.0327753,
Dwell time,,1,,acquisition-se_suffix-asl_task-rest__7,acquisition-se_suffix-asl_task-rest,7,26,2.70E-06,0.029,0.000345003,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,2,0.875,j-,4,,0.0327753,
Variant TR,,,acquisition-seVariantTr_suffix-asl_task-rest,acquisition-se_suffix-asl_task-rest__8,acquisition-se_suffix-asl_task-rest,8,2,,0.029,0.000345003,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,2,0.875,j-,4.34,,0.0327753,
Variant TR,,,acquisition-seVariantTr_suffix-asl_task-rest,acquisition-se_suffix-asl_task-rest__9,acquisition-se_suffix-asl_task-rest,9,2,,0.029,0.000345003,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,2,0.875,j-,4.11,,0.0327753,
Variant TR,,,acquisition-seVariantTr_suffix-asl_task-rest,acquisition-se_suffix-asl_task-rest__10,acquisition-se_suffix-asl_task-rest,10,1,,0.029,0.000345003,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,2,0.875,j-,4.16,,0.0327753,
Variant TR,,,acquisition-seVariantTr_suffix-asl_task-rest,acquisition-se_suffix-asl_task-rest__11,acquisition-se_suffix-asl_task-rest,11,1,,0.029,0.000345003,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,2,0.875,j-,5.09,,0.0327753,
Variant TR,,,acquisition-seVariantTr_suffix-asl_task-rest,acquisition-se_suffix-asl_task-rest__12,acquisition-se_suffix-asl_task-rest,12,1,,0.029,0.000345003,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,2,0.875,j-,5.06,,0.0327753,
Variant TR,,,acquisition-seVariantTr_suffix-asl_task-rest,acquisition-se_suffix-asl_task-rest__13,acquisition-se_suffix-asl_task-rest,13,1,,0.029,0.000345003,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,2,0.875,j-,4.92,,0.0327753,
Variant TR,,,acquisition-seVariantTr_suffix-asl_task-rest,acquisition-se_suffix-asl_task-rest__14,acquisition-se_suffix-asl_task-rest,14,1,,0.029,0.000345003,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,2,0.875,j-,4.84,,0.0327753,
Variant TR,,,acquisition-seVariantTr_suffix-asl_task-rest,acquisition-se_suffix-asl_task-rest__15,acquisition-se_suffix-asl_task-rest,15,1,,0.029,0.000345003,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,2,0.875,j-,4.8,,0.0327753,
