scanid,oldpnc
3345,6.317496571118777
7623,5.32721787146059
5950,8.115705377983057
3231,4.916925971821894
3528,3.3981940020707393
3014,7.784886163716864
6767,7.293629406443277
6642,5.505379656439029
3568,5.509805643777761
4534,7.959408800182156
7624,7.843084548292912
3090,7.425725708253772
3457,6.731514063416021
7284,6.625572459551284
3091,7.460726006039247
6731,2.8381230429583413
3284,7.828192596203953
3152,6.978659876573204
8250,4.829142787430449
3584,5.131148484417847
3512,6.573117197901116
3117,6.889367455175988
4480,4.676011227819017
3326,7.311852537917009
3705,6.578342913952591
5904,7.133570137806571
3429,6.5243521263483775
3449,7.414405592352856
6827,6.244808805651121
3350,5.26527700578101
3232,7.405387877159534
3962,4.608257420505811
5713,6.946898103562287
8204,5.679177400359924
3202,7.889656274339825
3115,5.470315069114202
3213,7.212098798198881
5269,6.99039070567403
3411,6.530445457947282
7695,7.896013183655715
4634,7.210664485512599
3190,5.374083611352235
9966,
5539,5.943589877473423
5502,6.875024764312295
6630,6.069388312890816
3225,5.784995263817153
3467,7.2526817958804495
3122,6.235899618828911
6314,7.220937792444169
3233,7.498532091649647
7753,6.2480698867381035
5979,5.821220120212855
4813,4.16312577966662
3535,6.4930988660937325
4000,7.541407772979253
3248,5.7332127277080565
7297,7.08142936468504
3139,7.300675183561304
4679,6.959558694984946
6917,6.8150270165474724
4448,6.625376913868335
6826,4.631580282521582
3246,6.567657026276789
3508,6.073813979942764
3086,7.770038181348251
5626,4.627672435130473
3961,5.077583838721719
6763,7.166597799552912
3144,7.950025142652418
6185,7.811445095453598
3653,6.678539239997569
3400,7.894535328789116
3291,4.979355383361901
5506,3.4390062486792963
3210,3.9584410854324332
3676,6.165606171160268
3216,7.685181833628491
6602,3.659700708401621
3282,8.159177337091165
3575,4.85205940530918
3536,7.067152168664784
7308,7.627045818702102
3187,6.1408783010386285
6019,6.596749412721683
3023,6.847856008950345
6224,3.240935035798922
6545,3.047153371053404
3209,3.6385187039059947
7910,7.914412063748016
3672,6.797086450776741
3296,4.907873169479362
7435,3.7235188496083644
